Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
273	20.940	11.837	0.868	15.046	737.928	216000.000	188.797	0.150	1497.250	6.300
274	20.910	11.817	0.151	13.966	737.928	216000.000	185.582	0.153	1488.030	6.500
275	20.886	11.858	0.026	13.207	737.928	216000.000	180.234	0.172	1506.970	7.500
276	20.892	11.908	0.005	8.500	737.928	216000.000	176.282	0.202	1580.380	8.500
277	20.858	11.942	0.001	7.301	737.928	216000.000	181.911	0.197	1614.720	8.200
278	20.882	11.980	0.000	10.739	737.928	216000.000	188.556	0.193	1651.510	8.200
279	20.897	11.990	0.000	13.227	737.928	216000.000	194.546	0.185	1670.800	8.000
280	20.885	12.004	0.000	15.297	737.928	216000.000	201.328	0.176	1692.500	7.700
281	20.875	12.007	0.000	15.579	737.928	216000.000	196.762	0.192	1707.960	8.400
282	20.860	12.024	0.000	13.340	737.928	216000.000	198.879	0.193	1734.630	8.300
283	20.844	11.989	0.000	10.490	737.928	216000.000	194.967	0.194	1711.320	8.200
284	20.821	11.947	0.000	6.876	737.928	216000.000	195.816	0.180	1676.410	7.400
285	20.805	11.909	0.000	2.432	737.928	216000.000	185.060	0.196	1653.680	7.900
286	20.750	11.902	0.000	0.481	737.928	216000.000	182.935	0.199	1644.690	7.900
287	20.744	11.889	0.000	0.440	737.928	216000.000	188.405	0.183	1635.490	7.200
288	20.786	11.899	0.000	4.615	737.928	216000.000	196.835	0.167	1645.930	6.700
289	20.785	11.883	0.000	11.918	737.928	216000.000	194.222	0.175	1636.350	7.500
290	20.765	11.313	0.000	10.109	737.928	216000.000	154.057	0.199	1410.580	9.000
